"ID_Pensionado","COD_TIPO_PENSION","COD_PARENTESCO","SEXO","Edad","MONTO"
"I00103",2,NA,"F",61,13106503.41
"I00380",2,NA,"M",56,10685310.909
"I00592",2,NA,"M",62,9763168.506
"I00642",2,NA,"F",59,9600559.059
"I00786",2,NA,"F",45,9193652.013
"I01035",2,NA,"F",52,8500915.605
"I01102",2,NA,"M",69,8313932.445
"I01210",2,NA,"M",55,8010362.178
"I01219",2,NA,"M",59,7978443.564
"I01224",2,NA,"F",46,7972456.401
"I01330",2,NA,"F",55,7729274.007
"I01353",2,NA,"F",55,7681612.575
"I01425",2,NA,"M",45,7501141.284
"I01512",2,NA,"F",48,7236642.777
"I01550",2,NA,"M",44,7113794.961
"I01552",2,NA,"M",54,7102104.282
"I01616",2,NA,"M",42,6917805.531
"I01655",2,NA,"M",58,6783642.411
"I01670",2,NA,"F",60,6741907.536
"I01734",2,NA,"M",63,6542342.352
"I01766",2,NA,"M",55,6416992.491
"I01788",2,NA,"F",59,6347610.36
"I01796",2,NA,"M",58,6303516.219
"I01816",2,NA,"M",51,6213817.974
"I01886",2,NA,"F",62,5932087.434
"I01891",2,NA,"M",65,5898895.275
"I01899",2,NA,"M",52,5875045.176
"I01916",2,NA,"M",62,5808759.684
"I02001",2,NA,"M",42,5450205.579
"I02007",2,NA,"M",51,5437360.656
"I02008",2,NA,"M",56,5434791.726
"I02120",2,NA,"F",54,5058171.027
"I02178",2,NA,"F",83,4794119.148
"I02197",2,NA,"M",42,4724860.14
"I02290",2,NA,"F",65,4414009.509
"I02517",2,NA,"F",39,3768612.666
"I02549",2,NA,"F",55,3713186.841
"I02595",2,NA,"M",54,3613326.99
"I02627",2,NA,"F",55,3555132.399
"I02695",2,NA,"M",57,3458041.587
"I02740",2,NA,"F",67,3396188.796
"I02770",2,NA,"F",60,3337496.526
"I02836",2,NA,"F",63,3218551.791
"I02838",2,NA,"M",57,3215908.878
"I02843",2,NA,"F",51,3207563.814
"I02862",2,NA,"M",64,3185920.92
"I02872",2,NA,"M",66,3170593.062
"I02901",2,NA,"M",42,3129355.593
"I02937",2,NA,"F",68,3079301.043
"I03069",2,NA,"M",63,2939374.074
"I03120",2,NA,"M",55,2883337.821
"I03129",2,NA,"M",49,2868757.983
"I03163",2,NA,"M",54,2811033.498
"I03262",2,NA,"F",49,2655979.053
"I03294",2,NA,"F",69,2600556.231
"I03382",2,NA,"F",66,2405403.546
"I03395",2,NA,"F",71,2375382.555
"I03417",2,NA,"F",56,2322637.59
"I03470",2,NA,"F",72,2156891.1
"I03484",2,NA,"M",82,2118519.039
"I03540",2,NA,"M",78,1955091.684
"I03639",2,NA,"M",56,1753760.736
"I03761",2,NA,"F",70,1437126.054
"S01798",3,1,"M",50,6286260.435
"S01800",3,2,"F",17,6278811.357
"S01813",3,2,"M",22,6225349.494
"S01919",3,1,"F",69,5803297.773
"S02020",3,1,"M",62,5385872.583
"S02030",3,1,"F",55,5368345.983
"S02084",3,1,"M",41,5177358.186
"S02107",3,1,"F",62,5097491.49
"S02128",3,2,"F",20,5033107.989
"S02139",3,2,"F",12,4990044.423
"S02157",3,1,"M",41,4894363.383
